run,pctApp,pctTest,lockdown,schools,compliance,deaths,propInfected,mortality,days,tests,household,relations,friends,school,random,work
243,40,3,false,true,High,199,35.7299724025343,0.54,428,77178,0.36,0.03,0.19,0.06,0.21,0.16
266,60,100,false,true,Low,165,30.792552571228672,0.52,387,173983,0.37,0.02,0.18,0.07,0.2,0.16
270,80,1.5,false,true,High,144,28.11831927546935,0.5,398,57689,0.37,0.02,0.18,0.08,0.21,0.14
297,20,1,false,true,High,228,40.97154740156256,0.54,354,25371,0.35,0.03,0.19,0.06,0.21,0.17
273,80,100,false,true,High,105,24.1244606833288,0.42,450,210105,0.39,0.02,0.17,0.08,0.2,0.14
250,40,3,false,true,Low,190,37.11956310490924,0.5,419,75950,0.36,0.02,0.19,0.06,0.21,0.15
258,60,6,false,true,High,164,29.66533214133012,0.54,497,159441,0.37,0.02,0.18,0.07,0.21,0.15
302,20,0,false,true,Low,372,50.09425894974152,0.72,254,0,0.33,0.03,0.2,0.05,0.22,0.17
306,20,3,false,true,Low,237,39.94733159715474,0.58,306,52861,0.35,0.03,0.19,0.06,0.21,0.16
304,20,1,false,true,Low,257,40.66350526684028,0.61,317,25481,0.35,0.03,0.2,0.06,0.21,0.16
244,40,6,false,true,High,173,33.85742605045283,0.5,400,97442,0.36,0.02,0.18,0.07,0.21,0.16
251,40,6,false,true,Low,194,34.785439421619316,0.54,391,103479,0.35,0.02,0.19,0.06,0.21,0.16
288,0,0,false,true,Low,368,51.86865938508182,0.69,285,0,0.32,0.03,0.2,0.05,0.22,0.18
262,60,1,false,true,Low,200,34.749484976872544,0.56,388,36797,0.36,0.02,0.19,0.07,0.2,0.16
265,60,6,false,true,Low,162,30.703152330236716,0.51,387,158554,0.37,0.02,0.18,0.07,0.2,0.15
300,20,6,false,true,High,233,39.309869009212115,0.58,310,51711,0.35,0.02,0.19,0.06,0.21,0.16
276,80,1,false,true,Low,199,32.433824386830956,0.6,392,42455,0.37,0.03,0.19,0.07,0.2,0.15
299,20,3,false,true,High,226,38.087417887822134,0.58,317,51569,0.35,0.03,0.2,0.06,0.21,0.17
277,80,1.5,false,true,Low,155,31.19874062269211,0.48,431,62340,0.37,0.03,0.18,0.07,0.21,0.15
272,80,6,false,true,High,100,24.058382244334744,0.4,461,190520,0.39,0.02,0.17,0.08,0.2,0.14
312,40,1.5,false,true,High,186,35.85046837952346,0.5,324,42689,0.36,0.03,0.19,0.07,0.21,0.15
310,40,0.5,false,true,High,269,41.36607455202706,0.63,302,15073,0.35,0.03,0.19,0.06,0.21,0.16
311,40,1,false,true,High,206,36.61814436195437,0.55,328,30278,0.36,0.03,0.18,0.06,0.21,0.15
314,40,6,false,true,High,196,34.72810665837447,0.55,334,97713,0.36,0.02,0.19,0.07,0.21,0.15
309,40,0,false,true,High,296,47.02647024526762,0.61,308,0,0.33,0.03,0.2,0.06,0.21,0.17
318,40,1,false,true,Low,213,39.364286547207215,0.53,310,28717,0.35,0.03,0.19,0.06,0.21,0.16
274,80,0,false,true,Low,273,43.84401601430404,0.61,412,0,0.34,0.03,0.19,0.06,0.21,0.16
280,80,100,false,true,Low,90,23.79698371360827,0.37,486,221710,0.38,0.02,0.17,0.08,0.2,0.15
307,20,6,false,true,Low,224,39.72091576942512,0.55,363,53992,0.35,0.03,0.19,0.06,0.21,0.17
317,40,0.5,false,true,Low,272,42.68569984840829,0.62,290,15077,0.34,0.03,0.2,0.06,0.21,0.16
308,20,100,false,true,Low,216,39.04652699498581,0.54,298,52020,0.35,0.03,0.2,0.06,0.21,0.16
316,40,0,false,true,Low,294,48.522952540132934,0.59,267,0,0.33,0.03,0.2,0.06,0.22,0.17
319,40,1.5,false,true,Low,205,37.44023788238038,0.53,323,41767,0.35,0.03,0.19,0.06,0.21,0.16
313,40,3,false,true,High,187,35.78924864927897,0.51,337,83600,0.36,0.02,0.19,0.06,0.21,0.15
321,40,6,false,true,Low,208,34.68243479612858,0.58,371,106060,0.36,0.03,0.19,0.06,0.21,0.16
323,60,0,false,true,High,278,44.14136898977728,0.61,356,0,0.34,0.03,0.19,0.06,0.21,0.16
324,60,0.5,false,true,High,215,35.39180627356473,0.59,381,18730,0.36,0.03,0.19,0.06,0.21,0.16
315,40,100,false,true,High,201,34.6766043456291,0.56,389,97755,0.36,0.02,0.19,0.06,0.21,0.16
326,60,1.5,false,true,High,185,33.89532397869942,0.53,326,51159,0.36,0.02,0.18,0.07,0.2,0.16
330,60,0,false,true,Low,273,46.01391534185875,0.58,284,0,0.34,0.03,0.2,0.06,0.21,0.16
333,60,1.5,false,true,Low,200,33.88949352819994,0.57,333,50411,0.36,0.02,0.18,0.06,0.21,0.16
331,60,0.5,false,true,Low,237,39.408014925953275,0.58,319,17692,0.35,0.03,0.19,0.06,0.21,0.16
346,80,1,false,true,Low,175,31.788587864889028,0.53,352,41751,0.37,0.02,0.18,0.07,0.21,0.15
322,40,100,false,true,Low,212,35.160531737085556,0.59,387,104438,0.36,0.02,0.19,0.06,0.21,0.16
271,80,3,false,true,High,127,27.673261554009404,0.45,606,111570,0.38,0.02,0.17,0.08,0.21,0.14
328,60,6,false,true,High,146,30.873207136471407,0.46,363,165083,0.37,0.02,0.18,0.07,0.21,0.15
334,60,3,false,true,Low,203,33.86811520970187,0.58,341,92931,0.36,0.03,0.18,0.06,0.21,0.16
338,80,0.5,false,true,High,173,29.31744859486143,0.57,367,22868,0.37,0.02,0.18,0.07,0.2,0.15
320,40,3,false,true,Low,198,37.19147199440277,0.52,405,78098,0.35,0.03,0.19,0.06,0.21,0.16
336,60,100,false,true,Low,147,30.359155750767673,0.47,465,177786,0.37,0.02,0.18,0.07,0.21,0.15
339,80,1,false,true,High,154,27.834570684494885,0.54,404,40821,0.37,0.02,0.19,0.07,0.2,0.15
329,60,100,false,true,High,196,29.656586465580908,0.64,444,158569,0.37,0.02,0.18,0.07,0.21,0.14
348,80,3,false,true,Low,145,29.84704784856377,0.47,357,109675,0.37,0.02,0.18,0.07,0.21,0.14
340,80,1.5,false,true,High,140,28.65472072142107,0.47,399,63268,0.38,0.02,0.17,0.08,0.2,0.14
362,0,3,false,true,Low,242,41.192132778792704,0.57,267,31374,0.35,0.03,0.2,0.06,0.21,0.16
368,20,1.5,false,true,High,260,40.1066972441404,0.63,308,36328,0.35,0.03,0.2,0.06,0.2,0.16
359,0,0.5,false,true,Low,280,46.147043961596765,0.59,296,12308,0.33,0.03,0.2,0.06,0.22,0.17
327,60,3,false,true,High,170,31.311462665681965,0.53,389,103375,0.37,0.02,0.18,0.07,0.21,0.15
358,0,0,false,true,Low,358,52.02802503206748,0.67,250,0,0.32,0.03,0.2,0.05,0.22,0.18
332,60,1,false,true,Low,197,35.861157538772495,0.53,425,37331,0.36,0.03,0.19,0.06,0.2,0.16
372,20,0,false,true,Low,339,50.675360516189215,0.65,253,0,0.32,0.03,0.2,0.05,0.22,0.18
345,80,0.5,false,true,Low,170,35.08279239709255,0.47,349,19226,0.36,0.03,0.19,0.07,0.21,0.16
387,40,0.5,false,true,Low,238,42.33295759319004,0.55,265,15430,0.34,0.03,0.2,0.06,0.21,0.17
375,20,1.5,false,true,Low,253,40.777199051580055,0.6,307,35719,0.35,0.02,0.19,0.06,0.21,0.16
369,20,3,false,true,High,261,38.45862323628872,0.66,306,50689,0.34,0.03,0.2,0.06,0.21,0.16
366,20,0.5,false,true,High,275,44.868231818711855,0.6,299,14232,0.34,0.02,0.2,0.06,0.21,0.17
361,0,1.5,false,true,Low,253,41.10953473005014,0.6,317,31909,0.34,0.03,0.2,0.06,0.21,0.17
360,0,1,false,true,Low,278,41.943289151475106,0.64,323,22581,0.34,0.03,0.19,0.06,0.21,0.17
371,20,100,false,true,High,195,38.85412212850313,0.49,325,51233,0.35,0.03,0.19,0.06,0.21,0.16
377,20,6,false,true,Low,225,39.96385120690326,0.55,307,54797,0.35,0.03,0.19,0.06,0.21,0.16
380,40,0.5,false,true,High,254,41.17950013604384,0.6,270,15395,0.35,0.03,0.19,0.06,0.21,0.16
365,20,0,false,true,High,330,50.04955882924554,0.64,280,0,0.33,0.03,0.2,0.06,0.22,0.17
279,80,6,false,true,Low,126,26.78120262758969,0.46,650,213313,0.38,0.02,0.18,0.08,0.2,0.14
325,60,1,false,true,High,173,32.965367124033115,0.51,424,37898,0.37,0.02,0.18,0.07,0.21,0.15
383,40,3,false,true,High,215,35.93403817001594,0.58,325,78901,0.36,0.02,0.19,0.07,0.21,0.16
343,80,100,false,true,High,108,25.53640144595172,0.41,488,224256,0.39,0.02,0.17,0.07,0.2,0.15
391,40,6,false,true,Low,194,34.777665487620006,0.54,315,105035,0.36,0.03,0.19,0.07,0.2,0.16
389,40,1.5,false,true,Low,234,38.135033233567846,0.6,335,41828,0.35,0.03,0.19,0.06,0.21,0.16
373,20,0.5,false,true,Low,296,46.21506588409064,0.62,281,13438,0.33,0.03,0.2,0.06,0.22,0.17
374,20,1,false,true,Low,256,40.801492595327865,0.61,314,25774,0.34,0.03,0.19,0.06,0.21,0.16
364,0,100,false,true,Low,251,40.51580052085358,0.6,328,31522,0.35,0.03,0.2,0.06,0.21,0.16
367,20,1,false,true,High,244,41.395226804524434,0.57,344,25430,0.35,0.02,0.19,0.06,0.21,0.17
341,80,3,false,true,High,120,26.38764721887511,0.44,498,108194,0.38,0.03,0.18,0.07,0.21,0.14
388,40,1,false,true,Low,223,38.28856843005403,0.57,393,30838,0.35,0.03,0.19,0.06,0.21,0.16
382,40,1.5,false,true,High,182,35.85241186302328,0.49,336,42762,0.35,0.02,0.19,0.07,0.21,0.16
393,60,0,false,true,High,331,44.34932172425856,0.73,320,0,0.34,0.03,0.19,0.06,0.21,0.16
370,20,6,false,true,High,213,39.19034477397287,0.53,353,51431,0.35,0.02,0.19,0.06,0.21,0.16
363,0,6,false,true,Low,261,41.618727407004315,0.61,307,32556,0.35,0.03,0.19,0.06,0.21,0.17
347,80,1.5,false,true,Low,140,30.946087767714854,0.44,448,56493,0.37,0.02,0.18,0.07,0.2,0.15
386,40,0,false,true,Low,326,49.04574960158588,0.65,268,0,0.33,0.03,0.2,0.06,0.22,0.17
349,80,6,false,true,Low,143,27.056205542814943,0.51,457,191313,0.38,0.02,0.18,0.07,0.21,0.14
381,40,1,false,true,High,187,36.318847902981304,0.5,350,32017,0.36,0.02,0.19,0.06,0.21,0.16
379,40,0,false,true,High,315,47.00703541026937,0.65,332,0,0.33,0.03,0.2,0.06,0.22,0.17
394,60,0.5,false,true,High,212,34.94966377735453,0.59,321,19490,0.36,0.03,0.19,0.06,0.21,0.16
378,20,100,false,true,Low,232,39.45660201344891,0.57,368,52045,0.35,0.02,0.2,0.06,0.21,0.16
396,60,1.5,false,true,High,143,32.85167333929335,0.42,314,51916,0.37,0.02,0.19,0.07,0.21,0.15
397,60,3,false,true,High,159,30.988844404711003,0.5,341,100472,0.37,0.03,0.19,0.06,0.2,0.15
337,80,0,false,true,High,223,39.82294865316594,0.54,506,0,0.35,0.03,0.19,0.06,0.21,0.16
350,80,100,false,true,Low,129,24.99319780775061,0.5,495,234916,0.38,0.02,0.18,0.07,0.21,0.14
376,20,3,false,true,Low,224,39.41578885995258,0.55,380,53651,0.35,0.03,0.19,0.06,0.21,0.17
385,40,100,false,true,High,188,35.115831616589574,0.52,384,100418,0.36,0.02,0.19,0.06,0.21,0.16
390,40,3,false,true,Low,224,37.00975628716912,0.59,349,78422,0.36,0.02,0.19,0.06,0.21,0.16
344,80,0,false,true,Low,259,42.52244723442298,0.59,430,0,0.34,0.03,0.19,0.06,0.21,0.16
384,40,6,false,true,High,183,35.566719788548994,0.5,364,101254,0.36,0.02,0.19,0.06,0.21,0.16
395,60,1,false,true,High,163,32.13647141135772,0.49,441,40181,0.36,0.02,0.19,0.07,0.2,0.15
342,80,6,false,true,High,126,24.862012671512417,0.49,602,218139,0.38,0.02,0.18,0.07,0.2,0.14
403,60,1.5,false,true,Low,180,34.83402650911494,0.5,398,51511,0.36,0.03,0.19,0.07,0.21,0.16
401,60,0.5,false,true,Low,221,38.200139930811986,0.56,324,17773,0.35,0.03,0.19,0.06,0.21,0.16
392,40,100,false,true,Low,207,36.17405838224433,0.56,432,109364,0.36,0.03,0.19,0.07,0.21,0.16
398,60,6,false,true,High,166,29.21930267812026,0.55,396,158976,0.37,0.03,0.18,0.07,0.2,0.15
407,80,0,false,true,High,257,39.72771796167451,0.63,349,0,0.35,0.03,0.19,0.06,0.21,0.16
415,80,0.5,false,true,Low,198,34.40160143040386,0.56,299,18758,0.36,0.03,0.19,0.07,0.2,0.15
402,60,1,false,true,Low,201,35.56088933804952,0.55,364,35035,0.36,0.03,0.19,0.06,0.21,0.15
406,60,100,false,true,Low,150,30.920822482217126,0.47,436,174740,0.36,0.02,0.19,0.07,0.2,0.15
405,60,6,false,true,Low,195,31.733198585144013,0.6,437,170065,0.37,0.02,0.18,0.07,0.2,0.15
416,80,1,false,true,Low,152,31.685583239398298,0.47,378,44088,0.36,0.02,0.19,0.07,0.21,0.15
399,60,100,false,true,High,162,29.750845415322424,0.53,479,159269,0.37,0.03,0.18,0.07,0.2,0.15
335,60,6,false,true,Low,163,30.974268278462315,0.51,650,170158,0.36,0.02,0.18,0.07,0.21,0.15
408,80,0.5,false,true,High,150,29.2844093753644,0.5,454,24411,0.37,0.03,0.18,0.07,0.21,0.15
432,0,3,false,true,Low,244,40.22719322112955,0.59,262,31399,0.34,0.02,0.2,0.06,0.21,0.17
404,60,3,false,true,Low,188,32.58833132506705,0.56,422,94006,0.37,0.02,0.18,0.07,0.2,0.15
400,60,0,false,true,Low,283,45.195708788432384,0.61,348,0,0.34,0.03,0.2,0.06,0.21,0.17
417,80,1.5,false,true,Low,150,31.373654137676372,0.46,393,56639,0.37,0.02,0.18,0.07,0.21,0.15
410,80,1.5,false,true,High,134,29.146422046876825,0.45,431,67542,0.38,0.02,0.18,0.08,0.21,0.14
414,80,0,false,true,Low,257,43.235705678858785,0.58,362,0,0.34,0.03,0.2,0.06,0.21,0.17
431,0,1.5,false,true,Low,227,41.165895751545065,0.54,306,31469,0.34,0.03,0.2,0.06,0.21,0.16
443,20,0.5,false,true,Low,316,45.270532903175656,0.68,231,13000,0.34,0.03,0.2,0.06,0.21,0.17
436,20,0.5,false,true,High,261,44.76425545147122,0.57,261,13649,0.34,0.03,0.2,0.06,0.21,0.17
418,80,3,false,true,Low,141,30.132739923038056,0.45,407,111631,0.37,0.02,0.18,0.07,0.21,0.15
446,20,3,false,true,Low,190,38.24969876005753,0.48,277,52421,0.35,0.03,0.2,0.06,0.2,0.16
430,0,1,false,true,Low,262,42.795506666148405,0.59,296,23386,0.34,0.03,0.2,0.06,0.21,0.17
445,20,1.5,false,true,Low,259,40.003692618649666,0.63,293,35420,0.35,0.02,0.2,0.06,0.21,0.17
434,0,100,false,true,Low,224,41.16200878454542,0.53,284,31859,0.35,0.03,0.19,0.06,0.21,0.16
435,20,0,false,true,High,324,50.48198390795662,0.62,259,0,0.32,0.03,0.2,0.05,0.22,0.17
437,20,1,false,true,High,245,40.79760562832821,0.58,284,25570,0.34,0.02,0.2,0.06,0.21,0.16
448,20,100,false,true,Low,209,38.96684417149298,0.52,286,51720,0.35,0.02,0.19,0.06,0.21,0.16
409,80,1,false,true,High,139,28.432191860691102,0.48,504,47670,0.37,0.02,0.18,0.08,0.2,0.15
450,40,0.5,false,true,High,251,41.55653593500991,0.59,265,15618,0.34,0.03,0.19,0.06,0.21,0.16
433,0,6,false,true,Low,257,41.152291367046296,0.61,320,32024,0.34,0.03,0.19,0.06,0.21,0.17
444,20,1,false,true,Low,255,42.4699731799277,0.58,272,25819,0.34,0.03,0.19,0.06,0.21,0.17
441,20,100,false,true,High,224,39.304038558712634,0.55,312,51613,0.35,0.03,0.19,0.06,0.21,0.16
429,0,0.5,false,true,Low,329,46.6610953473005,0.69,302,12254,0.33,0.03,0.2,0.06,0.21,0.17
440,20,6,false,true,High,198,39.55086096319042,0.49,322,51823,0.35,0.03,0.19,0.06,0.21,0.17
447,20,6,false,true,Low,226,39.10191627473083,0.56,309,52973,0.35,0.03,0.19,0.06,0.21,0.16
457,40,0.5,false,true,Low,257,43.93244451354608,0.57,262,14855,0.34,0.03,0.2,0.06,0.21,0.17
442,20,0,false,true,Low,346,50.922182920667005,0.66,268,0,0.32,0.03,0.21,0.05,0.22,0.17
451,40,1,false,true,High,212,36.59093559295681,0.56,325,29754,0.36,0.02,0.19,0.07,0.2,0.16
456,40,0,false,true,Low,326,49.058382244334744,0.65,258,0,0.33,0.03,0.2,0.06,0.22,0.17
439,20,3,false,true,High,219,39.10483149998056,0.54,343,51221,0.35,0.03,0.19,0.06,0.21,0.16
438,20,1.5,false,true,High,224,39.23601663621876,0.55,324,36982,0.35,0.03,0.19,0.06,0.21,0.16
411,80,3,false,true,High,137,26.340031873129398,0.51,494,112689,0.37,0.03,0.18,0.08,0.2,0.15
428,0,0,false,true,Low,346,51.74621992459284,0.65,350,0,0.32,0.03,0.2,0.05,0.22,0.17
458,40,1,false,true,Low,220,39.399269250204064,0.54,305,28917,0.35,0.03,0.19,0.06,0.21,0.16
419,80,6,false,true,Low,140,27.231119057799198,0.5,524,205323,0.38,0.02,0.18,0.07,0.2,0.14
459,40,1.5,false,true,Low,231,36.789170909938974,0.61,343,43165,0.35,0.03,0.19,0.07,0.21,0.16
460,40,3,false,true,Low,203,36.877599409181016,0.53,332,79202,0.35,0.02,0.19,0.06,0.21,0.16
449,40,0,false,true,High,310,47.54343685622109,0.63,314,0,0.33,0.03,0.2,0.05,0.21,0.17
468,60,6,false,true,High,139,28.696505616667316,0.47,356,151707,0.37,0.02,0.18,0.07,0.21,0.15
462,40,100,false,true,Low,183,35.44136510281028,0.5,362,106031,0.36,0.02,0.19,0.07,0.21,0.15
412,80,6,false,true,High,125,25.998950518910096,0.47,584,205856,0.39,0.02,0.17,0.08,0.2,0.14
452,40,1.5,false,true,High,198,35.69401795778754,0.54,362,42875,0.36,0.03,0.19,0.07,0.21,0.16
464,60,0.5,false,true,High,172,34.33649473315972,0.49,334,18880,0.36,0.03,0.19,0.07,0.21,0.15
453,40,3,false,true,High,210,35.40055194931395,0.58,378,79620,0.36,0.02,0.19,0.06,0.21,0.16
474,60,3,false,true,Low,198,33.765110584211136,0.57,320,85157,0.36,0.03,0.19,0.07,0.2,0.16
500,0,1,false,true,Low,264,42.99860069188012,0.6,268,22816,0.34,0.03,0.2,0.06,0.21,0.17
499,0,0.5,false,true,Low,310,46.34722276207875,0.65,251,12439,0.33,0.03,0.2,0.06,0.22,0.17
465,60,1,false,true,High,169,33.40653787849342,0.49,376,40137,0.36,0.02,0.18,0.07,0.2,0.15
470,60,0,false,true,Low,294,46.254907295837064,0.62,293,0,0.33,0.03,0.2,0.06,0.21,0.17
503,0,6,false,true,Low,249,40.61200295409492,0.6,282,31347,0.34,0.03,0.19,0.06,0.21,0.16
463,60,0,false,true,High,283,43.60302406032573,0.63,363,0,0.34,0.03,0.19,0.06,0.21,0.17
498,0,0,false,true,Low,322,51.39056244412485,0.61,262,0,0.32,0.03,0.2,0.05,0.22,0.17
469,60,100,false,true,High,149,30.5933455124966,0.47,386,163764,0.37,0.03,0.18,0.07,0.2,0.15
501,0,1.5,false,true,Low,247,40.81315349632681,0.59,261,30743,0.35,0.03,0.19,0.06,0.21,0.17
461,40,6,false,true,Low,198,35.961246939013485,0.54,407,109476,0.36,0.02,0.19,0.07,0.21,0.16
475,60,6,false,true,Low,175,31.489291405915964,0.54,368,160306,0.37,0.02,0.18,0.07,0.2,0.15
420,80,100,false,true,Low,111,25.286663816224202,0.43,577,240466,0.38,0.02,0.17,0.07,0.2,0.15
454,40,6,false,true,High,196,35.66389396354025,0.53,422,100776,0.36,0.02,0.19,0.06,0.2,0.16
487,80,1.5,false,true,Low,200,31.39697593967427,0.62,384,58192,0.37,0.03,0.18,0.07,0.21,0.15
490,80,100,false,true,Low,112,24.145839001826875,0.45,418,219673,0.38,0.02,0.17,0.07,0.2,0.14
467,60,3,false,true,High,158,31.669063629649784,0.48,444,95638,0.36,0.02,0.18,0.07,0.21,0.15
413,80,100,false,true,High,131,24.200256539821975,0.53,698,210149,0.38,0.02,0.17,0.08,0.21,0.14
471,60,0.5,false,true,Low,222,38.5655148287791,0.56,364,17547,0.35,0.02,0.19,0.06,0.21,0.16
505,20,0,false,true,High,338,49.35184825280833,0.67,261,0,0.32,0.03,0.2,0.05,0.22,0.17
502,0,3,false,true,Low,225,40.91810160531737,0.53,293,31214,0.34,0.03,0.2,0.06,0.21,0.16
486,80,1,false,true,Low,131,31.111283865199983,0.41,388,42660,0.36,0.02,0.18,0.07,0.21,0.15
485,80,0.5,false,true,Low,160,33.13153496326816,0.47,354,21722,0.36,0.03,0.19,0.07,0.2,0.16
506,20,0.5,false,true,High,316,45.79527344812843,0.67,270,13121,0.33,0.03,0.19,0.06,0.22,0.17
472,60,1,false,true,Low,188,36.13421697049792,0.51,408,37132,0.36,0.03,0.19,0.07,0.2,0.16
473,60,1.5,false,true,Low,181,34.66202821938042,0.51,442,54988,0.36,0.03,0.19,0.06,0.2,0.16
484,80,0,false,true,Low,266,42.988883274381,0.6,312,0,0.34,0.03,0.2,0.06,0.21,0.16
479,80,1,false,true,High,159,27.594550472266487,0.56,412,42228,0.37,0.02,0.18,0.07,0.2,0.15
466,60,1.5,false,true,High,182,32.28514789909433,0.55,500,54625,0.36,0.03,0.19,0.07,0.21,0.15
481,80,3,false,true,High,110,26.033933221906945,0.41,468,112442,0.38,0.02,0.17,0.08,0.2,0.14
477,80,0,false,true,High,255,39.71897228592529,0.62,418,0,0.35,0.03,0.19,0.06,0.21,0.16
455,40,100,false,true,High,183,34.37050569440665,0.52,519,96731,0.36,0.02,0.18,0.06,0.21,0.16
478,80,0.5,false,true,High,160,29.407820577603296,0.53,478,27190,0.37,0.03,0.18,0.07,0.21,0.15
489,80,6,false,true,Low,125,25.704512768686595,0.47,469,195590,0.39,0.02,0.17,0.07,0.2,0.14
504,0,100,false,true,Low,263,41.041512807556266,0.62,335,32042,0.34,0.03,0.19,0.06,0.21,0.16
514,20,1,false,true,Low,248,41.35538539277802,0.58,306,26290,0.34,0.03,0.2,0.06,0.21,0.16
507,20,1,false,true,High,243,41.64204920900222,0.57,310,24711,0.35,0.03,0.2,0.06,0.21,0.17
512,20,0,false,true,Low,356,51.06211373265441,0.68,266,0,0.32,0.03,0.2,0.05,0.22,0.18
476,60,100,false,true,Low,148,29.693512652077587,0.48,453,167226,0.37,0.02,0.18,0.07,0.2,0.15
520,40,0.5,false,true,High,242,41.504061880514634,0.57,243,14803,0.35,0.03,0.19,0.06,0.21,0.16
515,20,1.5,false,true,Low,254,40.10475376064057,0.62,286,35458,0.35,0.03,0.19,0.06,0.21,0.17
511,20,100,false,true,High,252,39.954133789404125,0.61,375,52936,0.35,0.03,0.19,0.06,0.21,0.16
483,80,100,false,true,High,108,24.994169549500526,0.42,507,220653,0.38,0.02,0.18,0.07,0.21,0.14
513,20,0.5,false,true,Low,274,45.29871341392312,0.59,264,12899,0.33,0.03,0.2,0.06,0.21,0.17
488,80,3,false,true,Low,131,29.208613518871225,0.44,477,111400,0.37,0.02,0.19,0.07,0.2,0.15
508,20,1.5,false,true,High,244,39.93081198740623,0.59,380,37413,0.35,0.03,0.2,0.06,0.21,0.16
522,40,1.5,false,true,High,213,37.56364908461927,0.55,321,43031,0.35,0.03,0.19,0.06,0.21,0.16
531,40,6,false,true,Low,229,36.21487153574066,0.61,283,108580,0.36,0.02,0.19,0.06,0.21,0.16
527,40,0.5,false,true,Low,302,42.545769036420886,0.69,274,14719,0.35,0.03,0.19,0.06,0.21,0.16
518,20,100,false,true,Low,222,39.73840712092354,0.54,309,53495,0.35,0.03,0.19,0.06,0.21,0.17
510,20,6,false,true,High,210,39.44688459594978,0.52,346,52896,0.35,0.03,0.19,0.06,0.21,0.16
526,40,0,false,true,Low,319,48.62498542387375,0.64,273,0,0.33,0.03,0.2,0.06,0.22,0.17
480,80,1.5,false,true,High,144,28.768414506160845,0.49,536,63287,0.38,0.02,0.18,0.07,0.2,0.14
530,40,3,false,true,Low,233,37.337233256889654,0.61,319,77696,0.36,0.03,0.19,0.06,0.21,0.16
523,40,3,false,true,High,215,36.24208030473821,0.58,331,75951,0.35,0.02,0.19,0.06,0.21,0.16
519,40,0,false,true,High,287,47.60174136121584,0.59,363,0,0.33,0.03,0.2,0.05,0.22,0.17
529,40,1.5,false,true,Low,238,38.100050530570996,0.61,310,42540,0.35,0.02,0.19,0.06,0.21,0.16
517,20,6,false,true,Low,249,39.83849652116454,0.61,351,53855,0.35,0.03,0.19,0.06,0.21,0.16
525,40,100,false,true,High,189,35.11680335833949,0.52,374,101200,0.36,0.03,0.19,0.07,0.21,0.15
516,20,3,false,true,Low,245,40.405021961363545,0.59,361,54818,0.35,0.03,0.19,0.06,0.21,0.16
528,40,1,false,true,Low,224,38.98919423174097,0.56,353,30823,0.35,0.03,0.19,0.06,0.21,0.16
524,40,6,false,true,High,201,34.45601896839896,0.57,366,98639,0.36,0.03,0.19,0.06,0.21,0.16
540,60,0,false,true,Low,316,46.53476891981187,0.66,271,0,0.34,0.03,0.2,0.06,0.21,0.17
533,60,0,false,true,High,286,43.86539433280212,0.63,306,0,0.34,0.03,0.2,0.06,0.21,0.16
532,40,100,false,true,Low,199,35.785361682279316,0.54,395,107977,0.36,0.03,0.18,0.06,0.21,0.16
521,40,1,false,true,High,226,36.19835192599215,0.61,380,31448,0.35,0.03,0.19,0.06,0.21,0.16
545,60,6,false,true,Low,158,30.531154040502194,0.5,369,164137,0.37,0.03,0.18,0.07,0.2,0.15
509,20,3,false,true,High,228,40.62269211334396,0.55,376,53266,0.35,0.02,0.19,0.06,0.21,0.17
544,60,3,false,true,Low,188,32.637890154312586,0.56,332,91510,0.37,0.02,0.18,0.07,0.21,0.15
570,0,1,false,true,Low,281,42.349477202938544,0.64,269,22907,0.34,0.03,0.2,0.06,0.21,0.16
482,80,6,false,true,High,102,24.765810238271076,0.4,621,195245,0.38,0.02,0.17,0.08,0.2,0.14
548,80,0.5,false,true,High,152,28.403039608193726,0.52,395,24647,0.37,0.02,0.18,0.08,0.2,0.15
542,60,1,false,true,Low,198,35.58518288179734,0.54,374,34436,0.36,0.02,0.19,0.07,0.21,0.16
550,80,1.5,false,true,High,138,27.37590857853617,0.49,387,57315,0.37,0.02,0.18,0.07,0.2,0.15
541,60,0.5,false,true,Low,234,38.8055350410075,0.59,334,19182,0.35,0.03,0.19,0.06,0.21,0.16
543,60,1.5,false,true,Low,216,35.01865744159832,0.6,333,50378,0.36,0.03,0.19,0.07,0.21,0.15
569,0,0.5,false,true,Low,279,45.726279783884635,0.59,261,12623,0.33,0.03,0.19,0.06,0.22,0.17
539,60,100,false,true,High,134,30.037509231546622,0.43,388,158384,0.37,0.02,0.18,0.07,0.2,0.15
572,0,3,false,true,Low,249,41.16686749329499,0.59,293,31433,0.35,0.02,0.19,0.06,0.21,0.16
571,0,1.5,false,true,Low,257,41.17755665254402,0.61,300,32235,0.35,0.03,0.19,0.06,0.21,0.16
536,60,1.5,false,true,High,181,32.76421658180122,0.54,394,56196,0.37,0.03,0.19,0.07,0.2,0.15
534,60,0.5,false,true,High,200,35.771757297780546,0.54,390,20461,0.36,0.03,0.19,0.07,0.21,0.16
554,80,0,false,true,Low,273,43.6088545108252,0.61,301,0,0.34,0.03,0.19,0.06,0.21,0.16
556,80,1,false,true,Low,152,31.43487386792086,0.47,344,37663,0.36,0.02,0.19,0.07,0.2,0.15
558,80,3,false,true,Low,167,29.65075601508143,0.55,337,105327,0.37,0.03,0.18,0.08,0.21,0.14
568,0,0,false,true,Low,351,51.34489058187896,0.66,253,0,0.32,0.03,0.2,0.06,0.22,0.17
